id,age,income,spending_score,gender,region,target
1,19,15000,39,Male,North,0
2,21,15000,81,Male,South,1
3,20,16000,6,Female,South,0
4,23,16000,77,Female,West,1
5,31,17000,40,Female,East,0
6,22,17000,76,Female,West,1
7,35,15000,6,Female,East,0
8,23,15000,94,Female,North,1
9,64,19000,3,Male,South,0
10,30,19000,72,Female,North,1
11,67,19000,14,Male,South,0
12,35,19000,99,Female,West,1
13,58,20000,15,Female,East,0
14,24,20000,77,Female,North,1
15,37,20000,13,Male,South,0
16,22,20000,79,Male,South,1
17,35,21000,35,Female,West,0
18,20,21000,66,Male,East,1
19,52,23000,29,Female,East,0
20,35,23000,98,Female,South,1
21,35,24000,35,Male,South,0
22,25,24000,73,Male,North,1
23,46,25000,5,Female,South,0
24,31,25000,73,Male,South,1
25,54,25000,14,Female,East,0
26,29,25000,82,Male,North,1
27,45,25000,32,Male,South,0
28,35,25000,61,Male,West,1
29,40,29000,31,Female,East,0
30,23,29000,87,Female,South,1
